sample_id,sample_index,original_paired_use,original_group,semantic_status,temporal_status,stage2_visual_status,stage3_visual_status,visual_status,mapping_status,resolution_status,resolution_reason,candidate_only,production_written,usable_text,usable_audio_fraction,usable_visual_fraction,usable_trimodal_fraction,reason,recommended_semantic_status,recommended_temporal_status,recommended_visual_segments,recommended_masks,recommended_resolution_status,writeback_recommended,proposed_paired_use,direct_talknet_fraction,continuity_recovered_fraction,visual_usable_fraction,mapping_candidate_sample_id,requires_explicit_review,writeback_approved,writeback_executed
-I_e4mIh0yE$_$1,17,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.8,0.98,1.0,0.8,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-I_e4mIh0yE$_$3,18,1,no_alert,MATCH_STRONG,PARTIAL,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.68,0.82,1.0,0.62,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,MATCH_STRONG,PARTIAL,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_PARTIAL,1,1,,,,,0,0,0
-MeTTeMJBNc$_$0,19,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,1.0,0.98,0.86,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,"[{""start"":0.0,""end"":0.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":0.25,""end"":0.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":0.5,""end"":0.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":0.75,""end"":1.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":1.0,""end"":1.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":1.25,""end"":1.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":1.5,""end"":1.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":1.75,""end"":2.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":2.0,""end"":2.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":2.25,""end"":2.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":2.5,""end"":2.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":2.75,""end"":3.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.0,""end"":3.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.25,""end"":3.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.5,""end"":3.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.75,""end"":4.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.0,""end"":4.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.25,""end"":4.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.5,""end"":4.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.75,""end"":5.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.0,""end"":5.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.25,""end"":5.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.5,""end"":5.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":5.75,""end"":6.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":6.0,""end"":6.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":6.25,""end"":6.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":6.5,""end"":6.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":6.75,""end"":7.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.0,""end"":7.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.25,""end"":7.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.5,""end"":7.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":7.75,""end"":8.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":8.0,""end"":8.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":8.25,""end"":8.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":8.5,""end"":8.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":8.75,""end"":9.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":9.0,""end"":9.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":9.25,""end"":9.333333333333334,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""}]","{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,0.13392857142857142,0.8660714285714286,1.0,,0,0,0
-MeTTeMJBNc$_$13,20,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.72,0.98,0.98,0.72,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-MeTTeMJBNc$_$7,21,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,AMBIGUOUS,AMBIGUOUS,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.88,1.0,0.0,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_PARTIAL,1,0,0.0,0.0,0.0,,0,0,0
-NFrJFQijFE$_$1,22,0,vision_no_face_and_text_audio,CONFLICT,NOT_APPLICABLE,missing,MISSING,MISSING,NOT_SUSPECTED,RESOLVED_MISSING,visual_modality_is_confirmed_naturally_missing,1,0,0.0,0.0,0.0,0.0,visual_modality_is_confirmed_naturally_missing,CONFLICT,NOT_APPLICABLE,[],"{""audio_mask_required"":true,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":true}",RESOLVED_MISSING,1,0,0.0,0.0,0.0,,0,0,0
-NFrJFQijFE$_$2,23,0,vision_no_face_and_text_audio,CONFLICT,NOT_APPLICABLE,missing,MISSING,MISSING,NOT_SUSPECTED,RESOLVED_MISSING,visual_modality_is_confirmed_naturally_missing,1,0,0.0,0.0,0.0,0.0,visual_modality_is_confirmed_naturally_missing,CONFLICT,NOT_APPLICABLE,[],"{""audio_mask_required"":true,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":true}",RESOLVED_MISSING,1,0,0.0,0.0,0.0,,0,0,0
-RfYyzHpjk4$_$11,24,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.74,0.98,0.94,0.74,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-RfYyzHpjk4$_$2,25,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.84,1.0,1.0,0.84,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,"[{""start"":0.0,""end"":0.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":0.25,""end"":0.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":0.5,""end"":0.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":0.75,""end"":1.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":1.0,""end"":1.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":1.25,""end"":1.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":1.5,""end"":1.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":1.75,""end"":2.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":2.0,""end"":2.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":2.25,""end"":2.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":2.5,""end"":2.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":2.75,""end"":3.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.0,""end"":3.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.25,""end"":3.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.5,""end"":3.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.75,""end"":4.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.0,""end"":4.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.25,""end"":4.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.5,""end"":4.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.75,""end"":5.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.0,""end"":5.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.25,""end"":5.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""}]","{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,0.2727272727272727,0.7272727272727273,1.0,,0,0,0
-RfYyzHpjk4$_$8,26,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.82,1.0,0.96,0.78,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-THoVjtIkeU$_$12,27,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.82,1.0,1.0,0.82,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-THoVjtIkeU$_$2,28,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.72,1.0,1.0,0.72,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-THoVjtIkeU$_$6,29,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.88,1.0,0.8,0.74,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,MATCH_STRONG,VERIFIED,"[{""start"":0.5,""end"":0.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":1.75,""end"":2.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":2.0,""end"":2.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":2.25,""end"":2.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":2.5,""end"":2.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":2.75,""end"":3.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":3.0,""end"":3.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":3.25,""end"":3.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":3.5,""end"":3.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":3.75,""end"":4.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":4.0,""end"":4.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":4.25,""end"":4.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":4.5,""end"":4.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":4.75,""end"":5.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":5.0,""end"":5.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":5.25,""end"":5.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":5.5,""end"":5.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":5.75,""end"":6.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":6.0,""end"":6.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":6.25,""end"":6.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":6.5,""end"":6.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":6.75,""end"":7.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.0,""end"":7.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.25,""end"":7.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.5,""end"":7.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""}]","{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_PARTIAL,1,1,0.7747933884297521,0.0,0.7747933884297521,,0,0,0
-UUCSKoHeMA$_$0,30,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.78,1.0,0.98,0.78,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-UacrmKiTn4$_$10,31,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.78,1.0,1.0,0.78,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-UacrmKiTn4$_$4,32,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.8,1.0,1.0,0.8,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
