sample_index,sample_id,video_id,clip_id,video_relpath,raw_text,excel_sheet,excel_row,input_status
14,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,""" President Ronald Reagan blamed the professional bureaucracy of education",label,8,ok
15,-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,"And in part, Al Shanker did too",label,9,ok
16,-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,label,10,ok
17,-I_e4mIh0yE$_$1,-I_e4mIh0yE,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/1.mp4,In the United States we don't punish failure to the degree to which failure is punished in Europe.,label,68,ok
18,-I_e4mIh0yE$_$3,-I_e4mIh0yE,3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/3.mp4,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",label,69,ok
19,-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/0.mp4,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",label,82,ok
20,-MeTTeMJBNc$_$13,-MeTTeMJBNc,13,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/13.mp4,"It just needs to be a simple statement, and then you present the gift.",label,83,ok
21,-MeTTeMJBNc$_$7,-MeTTeMJBNc,7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/7.mp4,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",label,84,ok
22,-NFrJFQijFE$_$1,-NFrJFQijFE,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,label,11,ok
23,-NFrJFQijFE$_$2,-NFrJFQijFE,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,label,12,ok
24,-RfYyzHpjk4$_$11,-RfYyzHpjk4,11,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/11.mp4,"So get your friends lined up, get your business colleagues lined up and have a good time.",label,85,ok
25,-RfYyzHpjk4$_$2,-RfYyzHpjk4,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/2.mp4,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do.",label,87,ok
26,-RfYyzHpjk4$_$8,-RfYyzHpjk4,8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/8.mp4,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time.",label,86,ok
27,-THoVjtIkeU$_$12,-THoVjtIkeU,12,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",label,13,ok
28,-THoVjtIkeU$_$2,-THoVjtIkeU,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,I think social justice is extremely important for young people.,label,14,ok
29,-THoVjtIkeU$_$6,-THoVjtIkeU,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",label,15,ok
30,-UUCSKoHeMA$_$0,-UUCSKoHeMA,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UUCSKoHeMA/0.mp4,"I mentioned a word in the last clip called 'monotone', and I want to talk about that briefly.",label,88,ok
31,-UacrmKiTn4$_$10,-UacrmKiTn4,10,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/10.mp4,"Because, if they are not in any way held accountable for reading the material they won't do it.",label,70,ok
32,-UacrmKiTn4$_$4,-UacrmKiTn4,4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/4.mp4,Just given to their own devices they are not going to read the textbook.,label,71,ok
33,-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,^it's amazing to see their enthusiasm and their passion,label,17,ok
34,-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,label,16,ok
35,-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,My goal is to become a human rights lawyer,label,18,ok
36,-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",label,19,ok
37,-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",label,20,ok
38,-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",label,21,ok
39,-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",label,22,ok
40,-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",label,24,ok
41,-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",label,23,ok
42,-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",label,25,ok
43,-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,label,26,ok
44,-egA8-b7-3M$_$1,-egA8-b7-3M,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,label,32,ok
45,-egA8-b7-3M$_$13,-egA8-b7-3M,13,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,"What are you doing that's different?"" They always want an answer.",label,31,ok
46,-egA8-b7-3M$_$16,-egA8-b7-3M,16,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,"Third, another big benefit of exhibiting is connecting with existing clients.",label,30,ok
47,-egA8-b7-3M$_$17,-egA8-b7-3M,17,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,"As you have more experience, you have more times exhibiting, you get to know more people.",label,28,ok
48,-egA8-b7-3M$_$18,-egA8-b7-3M,18,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,label,29,ok
49,-egA8-b7-3M$_$20,-egA8-b7-3M,20,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",label,35,ok
50,-egA8-b7-3M$_$26,-egA8-b7-3M,26,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4,We're updating it all the time and looking forward to your comments on our videos.,label,27,ok
51,-egA8-b7-3M$_$6,-egA8-b7-3M,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/6.mp4,First exhibiting is a wonderful opportunity to network with other legal vendors.,label,33,ok
52,-egA8-b7-3M$_$9,-egA8-b7-3M,9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/9.mp4,"Secondly, another goal of exhibiting  is building your company image.",label,34,ok
53,-hnBHBN8p5A$_$6,-hnBHBN8p5A,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-hnBHBN8p5A/6.mp4,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",label,73,ok
54,-hnBHBN8p5A$_$7,-hnBHBN8p5A,7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-hnBHBN8p5A/7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",label,72,ok
55,-iRBcNs9oI8$_$3,-iRBcNs9oI8,3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/3.mp4,"Well, it is the secret of power pose",label,36,ok
56,-iRBcNs9oI8$_$6,-iRBcNs9oI8,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/6.mp4,What is a power pose,label,38,ok
57,-iRBcNs9oI8$_$7,-iRBcNs9oI8,7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/7.mp4,"Well, for starters, let's look at the word ""power""",label,37,ok
58,-iRBcNs9oI8$_$8,-iRBcNs9oI8,8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",label,40,ok
59,-iRBcNs9oI8$_$9,-iRBcNs9oI8,9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/9.mp4,Power is similar to strength,label,39,ok
60,-lzEya4AM_4$_$5,-lzEya4AM_4,5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/5.mp4,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",label,41,ok
61,-lzEya4AM_4$_$6,-lzEya4AM_4,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/6.mp4,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",label,42,ok
62,-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/1.mp4,There are a dozen or more hands on techniques that we can do,label,43,ok
63,-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,label,44,ok
64,-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/6.mp4,They are all very safe,label,45,ok
65,-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/8.mp4,Sometimes we have to stretch that joint that is already irritated,label,47,ok
66,-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/9.mp4,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",label,46,ok
67,-mqbVkbCndg$_$0,-mqbVkbCndg,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mqbVkbCndg/0.mp4,"How, at a particular moment in time—our moment in time—are they limited",label,48,ok
68,-qDkUB0GgYY$_$6,-qDkUB0GgYY,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-qDkUB0GgYY/6.mp4,"We always love to hear what you say, and like and share this video as well.",label,74,ok
69,-ri04Z7vwnc$_$0,-ri04Z7vwnc,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/0.mp4,going to get married or are already married,label,89,ok
70,-ri04Z7vwnc$_$2,-ri04Z7vwnc,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/2.mp4,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not something too important",label,90,ok
71,-ri04Z7vwnc$_$5,-ri04Z7vwnc,5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/5.mp4,""" So I think it's important to discuss finances",label,91,ok
72,-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/0.mp4,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a race, and then they just give up",label,93,ok
73,-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/1.mp4,"But the hardest thing in life to learn, is to lose",label,92,ok
74,-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/4.mp4,"I have lost at everything you can imagine, seriously",label,95,ok
75,-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/5.mp4,"I have been beat up and put down and everything that can go wrong, has gone wrong for me",label,94,ok
76,-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/6.mp4,But I just kept going,label,97,ok
77,-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/7.mp4,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business",label,96,ok
78,-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/8.mp4,""" And I said, ""Oh, make a profit, and all these other things",label,98,ok
79,-t217m2on-s$_$2,-t217m2on-s,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-t217m2on-s/2.mp4,"But a good thing to do is yawning, chewing gum is effective.",label,49,ok
80,-t217m2on-s$_$7,-t217m2on-s,7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-t217m2on-s/7.mp4,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",label,50,ok
81,-tANM6ETl_M$_$3,-tANM6ETl_M,3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tANM6ETl_M/3.mp4,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",label,51,ok
82,-tPCytz4rww$_$10,-tPCytz4rww,10,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/10.mp4,Say twenty percent so if you've got a thousand square foot condo.,label,53,ok
83,-tPCytz4rww$_$11,-tPCytz4rww,11,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/11.mp4,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",label,52,ok
84,-tPCytz4rww$_$12,-tPCytz4rww,12,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/12.mp4,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",label,54,ok
85,-tPCytz4rww$_$16,-tPCytz4rww,16,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/16.mp4,So make sure to get a through or to do a through cleaning of the property.,label,55,ok
86,-tPCytz4rww$_$18,-tPCytz4rww,18,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/18.mp4,Do so and as well you'll also want to remove any clutter from that you've accumulated.,label,56,ok
87,-uywlfIYOS8$_$4,-uywlfIYOS8,4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-uywlfIYOS8/4.mp4,"And then from a brand point of view, we need to make sure we're driving the relevant insight.",label,75,ok
88,-vxjVxOeScU$_$4,-vxjVxOeScU,4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-vxjVxOeScU/4.mp4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",label,57,ok
89,-wMB_hJL-3o$_$7,-wMB_hJL-3o,7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wMB_hJL-3o/7.mp4,So if you have a loved one who is depressed those are some of the things that you should think about doing.,label,58,ok
90,-wny0OAz3g8$_$0,-wny0OAz3g8,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/0.mp4,trade labor unions didn’t allow Black workers to join,label,60,ok
91,-wny0OAz3g8$_$1,-wny0OAz3g8,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/1.mp4,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",label,59,ok
92,-wny0OAz3g8$_$2,-wny0OAz3g8,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/2.mp4,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",label,62,ok
93,-wny0OAz3g8$_$3,-wny0OAz3g8,3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/3.mp4,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,label,61,ok
94,-wny0OAz3g8$_$5,-wny0OAz3g8,5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/5.mp4,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",label,63,ok
95,-wny0OAz3g8$_$7,-wny0OAz3g8,7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/7.mp4,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,label,64,ok
96,-wny0OAz3g8$_$9,-wny0OAz3g8,9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/9.mp4,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",label,65,ok
97,-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/1.mp4,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas.",label,99,ok
98,-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/5.mp4,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the students of terrorism, but by those who teach terrorism, a Palestinian teacher.",label,100,ok
99,-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/6.mp4,"Therefore, the world needs to stand with Israel against this incitement, which is the number one cause of terrorism.",label,101,ok
