sample_id,word_id,raw_word,gold_start,gold_end,confidence,evidence_note
-mJ2ud6oKI8$_$1,11,can,,,,
-mJ2ud6oKI8$_$2,1,physical,,,,
-mJ2ud6oKI8$_$2,3,and,,,,
-mJ2ud6oKI8$_$2,5,will,,,,
-mJ2ud6oKI8$_$2,7,joint,,,,
-mJ2ud6oKI8$_$2,9,and,,,,
-mJ2ud6oKI8$_$6,0,They,,,,
-mJ2ud6oKI8$_$6,1,are,,,,
-mJ2ud6oKI8$_$6,2,all,,,,
-mJ2ud6oKI8$_$6,3,very,,,,
-mJ2ud6oKI8$_$6,4,safe,,,,
-mJ2ud6oKI8$_$8,1,we,,,,
-mJ2ud6oKI8$_$8,3,to,,,,
-mJ2ud6oKI8$_$8,5,that,,,,
-mJ2ud6oKI8$_$8,7,that,,,,
-mJ2ud6oKI8$_$8,9,already,,,,
-mJ2ud6oKI8$_$9,2,and,,,,
-mJ2ud6oKI8$_$9,6,feel,,,,
-mJ2ud6oKI8$_$9,10,but,,,,
-mJ2ud6oKI8$_$9,15,flossing,,,,
-mJ2ud6oKI8$_$9,19,the,,,,
-ri04Z7vwnc$_$0,1,to,,,,
-ri04Z7vwnc$_$0,2,get,,,,
-ri04Z7vwnc$_$0,4,or,,,,
-ri04Z7vwnc$_$0,5,are,,,,
-ri04Z7vwnc$_$0,6,already,,,,
-ri04Z7vwnc$_$2,2,think,,,,
-ri04Z7vwnc$_$2,4,sort,,,,
-ri04Z7vwnc$_$2,8,discuss,,,,
-ri04Z7vwnc$_$2,10,"later,""",,,,
-ri04Z7vwnc$_$2,14,too,,,,
-ri04Z7vwnc$_$5,1,So,,,,
-ri04Z7vwnc$_$5,2,I,,,,
-ri04Z7vwnc$_$5,4,it's,,,,
-ri04Z7vwnc$_$5,6,to,,,,
-ri04Z7vwnc$_$5,7,discuss,,,,
-yRb-Jum7EQ$_$1,5,and,,,,
-yRb-Jum7EQ$_$1,14,that,,,,
-yRb-Jum7EQ$_$1,24,murderers,,,,
-yRb-Jum7EQ$_$1,34,is,,,,
-yRb-Jum7EQ$_$1,43,terrorism,,,,
-yRb-Jum7EQ$_$5,2,Gelman,,,,
-yRb-Jum7EQ$_$5,7,another,,,,
-yRb-Jum7EQ$_$5,12,the,,,,
-yRb-Jum7EQ$_$5,17,by,,,,
-yRb-Jum7EQ$_$5,22,a,,,,
-yRb-Jum7EQ$_$6,2,world,,,,
-yRb-Jum7EQ$_$6,5,stand,,,,
-yRb-Jum7EQ$_$6,9,this,,,,
-yRb-Jum7EQ$_$6,13,the,,,,
-yRb-Jum7EQ$_$6,16,cause,,,,
-MeTTeMJBNc$_$13,1,just,,,,
-MeTTeMJBNc$_$13,4,be,,,,
-MeTTeMJBNc$_$13,6,simple,,,,
-MeTTeMJBNc$_$13,9,then,,,,
-MeTTeMJBNc$_$13,12,the,,,,
-egA8-b7-3M$_$20,2,got,,,,
-egA8-b7-3M$_$20,6,you,,,,
-egA8-b7-3M$_$20,10,a,,,,
-egA8-b7-3M$_$20,13,that,,,,
-egA8-b7-3M$_$20,17,to,,,,
-6rXp3zJ3kc$_$8,3,not,,,,
-6rXp3zJ3kc$_$8,10,older,,,,
-6rXp3zJ3kc$_$8,16,gosh,,,,
-6rXp3zJ3kc$_$8,23,and,,,,
-6rXp3zJ3kc$_$8,30,that's,,,,
-s9qJ7ATP7w$_$5,2,been,,,,
-s9qJ7ATP7w$_$5,5,and,,,,
-s9qJ7ATP7w$_$5,9,everything,,,,
-s9qJ7ATP7w$_$5,13,"wrong,",,,,
-s9qJ7ATP7w$_$5,16,wrong,,,,
-THoVjtIkeU$_$2,1,think,,,,
-THoVjtIkeU$_$2,3,justice,,,,
-THoVjtIkeU$_$2,4,is,,,,
-THoVjtIkeU$_$2,6,important,,,,
-THoVjtIkeU$_$2,8,young,,,,
-tPCytz4rww$_$12,2,than,,,,
-tPCytz4rww$_$12,8,going,,,,
-tPCytz4rww$_$12,12,similar,,,,
-tPCytz4rww$_$12,18,well,,,,
-tPCytz4rww$_$12,22,complexes,,,,
-UacrmKiTn4$_$4,1,given,,,,
-UacrmKiTn4$_$4,4,own,,,,
-UacrmKiTn4$_$4,6,they,,,,
-UacrmKiTn4$_$4,9,going,,,,
-UacrmKiTn4$_$4,12,the,,,,
-aNfi7CP8vM$_$7,2,have,,,,
-aNfi7CP8vM$_$7,5,party,,,,
-aNfi7CP8vM$_$7,8,not,,,,
-aNfi7CP8vM$_$7,12,they,,,,
-aNfi7CP8vM$_$7,15,less,,,,
-AUZQgSxyPQ$_$2,4,to,,,,
-AUZQgSxyPQ$_$2,12,Ph,,,,
-AUZQgSxyPQ$_$2,20,acai,,,,
-AUZQgSxyPQ$_$2,28,extracts,,,,
-AUZQgSxyPQ$_$2,36,away,,,,
-qDkUB0GgYY$_$6,2,love,,,,
-qDkUB0GgYY$_$6,4,hear,,,,
-qDkUB0GgYY$_$6,8,and,,,,
-qDkUB0GgYY$_$6,10,and,,,,
-qDkUB0GgYY$_$6,14,as,,,,
