sample_id,ta_evidence_level,text_audio_status,semantic_support,ctc_support,boundary_support,evidence_reason
-NFrJFQijFE$_$2,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-RfYyzHpjk4$_$11,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-RfYyzHpjk4$_$2,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-RfYyzHpjk4$_$8,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-THoVjtIkeU$_$12,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-THoVjtIkeU$_$2,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-THoVjtIkeU$_$6,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-UUCSKoHeMA$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-UacrmKiTn4$_$10,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-UacrmKiTn4$_$4,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-UuX1xuaiiE$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-UuX1xuaiiE$_$1,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-UuX1xuaiiE$_$3,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-UuX1xuaiiE$_$6,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-a55Q6RWvTA$_$3,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-aNfi7CP8vM$_$7,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-aqamKhZ1Ec$_$0,TA_SEMANTIC_ONLY,timing_partial,1,0,1,"WhisperX and negative controls support the official text, but CTC coverage or timing is partial"
-dxfTGcXJoc$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-dxfTGcXJoc$_$1,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-dxfTGcXJoc$_$2,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-dxfTGcXJoc$_$6,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$1,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$13,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$16,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$17,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$18,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$20,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$26,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$6,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-egA8-b7-3M$_$9,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-hnBHBN8p5A$_$6,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-hnBHBN8p5A$_$7,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-iRBcNs9oI8$_$3,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-iRBcNs9oI8$_$6,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-iRBcNs9oI8$_$7,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-iRBcNs9oI8$_$8,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-iRBcNs9oI8$_$9,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-lzEya4AM_4$_$5,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-lzEya4AM_4$_$6,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-mJ2ud6oKI8$_$1,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-mJ2ud6oKI8$_$2,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-mJ2ud6oKI8$_$6,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-mJ2ud6oKI8$_$8,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-mJ2ud6oKI8$_$9,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-mqbVkbCndg$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-qDkUB0GgYY$_$6,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-ri04Z7vwnc$_$0,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-ri04Z7vwnc$_$2,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-ri04Z7vwnc$_$5,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-s9qJ7ATP7w$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-s9qJ7ATP7w$_$1,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-s9qJ7ATP7w$_$4,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-s9qJ7ATP7w$_$5,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-s9qJ7ATP7w$_$6,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-s9qJ7ATP7w$_$7,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-s9qJ7ATP7w$_$8,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-t217m2on-s$_$2,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-t217m2on-s$_$7,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-tANM6ETl_M$_$3,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-tPCytz4rww$_$10,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-tPCytz4rww$_$11,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-tPCytz4rww$_$12,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-tPCytz4rww$_$16,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-tPCytz4rww$_$18,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-uywlfIYOS8$_$4,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-vxjVxOeScU$_$4,TA_CONFLICT,uncertain,0,1,0,CTC supports the official text but WhisperX/negative-control semantic evidence does not
-wMB_hJL-3o$_$7,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-wny0OAz3g8$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-wny0OAz3g8$_$1,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-wny0OAz3g8$_$2,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-wny0OAz3g8$_$3,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-wny0OAz3g8$_$5,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-wny0OAz3g8$_$7,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-wny0OAz3g8$_$9,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-yRb-Jum7EQ$_$1,TA_SEMANTIC_ONLY,timing_partial,1,0,0,"WhisperX and negative controls support the official text, but CTC coverage or timing is partial"
-yRb-Jum7EQ$_$5,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-yRb-Jum7EQ$_$6,TA_SEMANTIC_ONLY,timing_partial,1,0,0,"WhisperX and negative controls support the official text, but CTC coverage or timing is partial"
